--- --- ---
Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████| 3/3 [00:12<00:00,  4.17s/it]
Map: 100%|████████████████████████████████████████████████████████████████| 4387/4387 [00:01<00:00, 3969.01 examples/s]
Map: 100%|██████████████████████████████████████████████████████████████████| 488/488 [00:00<00:00, 3545.64 examples/s]
{'loss': 1.4435, 'grad_norm': 0.6890142560005188, 'learning_rate': 0.0002, 'epoch': 0.009115770282588878}
{'loss': 0.2939, 'grad_norm': 0.19360587000846863, 'learning_rate': 0.0002, 'epoch': 0.18231540565177756}
{'loss': 0.2704, 'grad_norm': 0.20017985999584198, 'learning_rate': 0.0002, 'epoch': 0.19143117593436645}
{'loss': 0.2797, 'grad_norm': 0.2213742434978485, 'learning_rate': 0.0002, 'epoch': 0.20054694621695535}
{'loss': 0.2696, 'grad_norm': 0.17471571266651154, 'learning_rate': 0.0002, 'epoch': 0.2096627164995442}
{'loss': 0.2685, 'grad_norm': 0.2508338987827301, 'learning_rate': 0.0002, 'epoch': 0.2187784867821331}
{'loss': 0.2825, 'grad_norm': 0.23044823110103607, 'learning_rate': 0.0002, 'epoch': 0.22789425706472197}
{'loss': 0.2733, 'grad_norm': 0.1865067481994629, 'learning_rate': 0.0002, 'epoch': 0.23701002734731086}
{'loss': 0.2767, 'grad_norm': 0.22470155358314514, 'learning_rate': 0.0002, 'epoch': 0.24612579762989972}
{'loss': 0.2596, 'grad_norm': 0.2097366452217102, 'learning_rate': 0.0002, 'epoch': 0.2552415679124886}
{'loss': 0.2871, 'grad_norm': 0.19558395445346832, 'learning_rate': 0.0002, 'epoch': 0.2643573381950775}
{'loss': 0.2654, 'grad_norm': 0.22833019495010376, 'learning_rate': 0.0002, 'epoch': 0.27347310847766637}
{'loss': 0.2677, 'grad_norm': 0.2660028338432312, 'learning_rate': 0.0002, 'epoch': 0.28258887876025524}
{'loss': 0.2545, 'grad_norm': 0.22869230806827545, 'learning_rate': 0.0002, 'epoch': 0.2917046490428441}
{'loss': 0.2679, 'grad_norm': 0.2035561352968216, 'learning_rate': 0.0002, 'epoch': 0.300820419325433}
{'loss': 0.249, 'grad_norm': 0.2387814074754715, 'learning_rate': 0.0002, 'epoch': 0.3099361896080219}
{'loss': 0.2715, 'grad_norm': 0.21620230376720428, 'learning_rate': 0.0002, 'epoch': 0.31905195989061075}
{'loss': 0.2327, 'grad_norm': 0.19863858819007874, 'learning_rate': 0.0002, 'epoch': 0.3281677301731996}
{'loss': 0.2332, 'grad_norm': 0.20809055864810944, 'learning_rate': 0.0002, 'epoch': 0.33728350045578853}
{'loss': 0.2464, 'grad_norm': 0.20963917672634125, 'learning_rate': 0.0002, 'epoch': 0.3463992707383774}
{'loss': 0.2443, 'grad_norm': 0.21947261691093445, 'learning_rate': 0.0002, 'epoch': 0.35551504102096626}
{'loss': 0.2554, 'grad_norm': 0.24391254782676697, 'learning_rate': 0.0002, 'epoch': 0.3646308113035551}
{'loss': 0.2199, 'grad_norm': 0.19830644130706787, 'learning_rate': 0.0002, 'epoch': 0.37374658158614404}
{'loss': 0.2453, 'grad_norm': 0.2291911393404007, 'learning_rate': 0.0002, 'epoch': 0.3828623518687329}
{'loss': 0.2209, 'grad_norm': 0.24948546290397644, 'learning_rate': 0.0002, 'epoch': 0.3919781221513218}
{'loss': 0.243, 'grad_norm': 0.24406428635120392, 'learning_rate': 0.0002, 'epoch': 0.4010938924339107}
{'loss': 0.2075, 'grad_norm': 0.2171604037284851, 'learning_rate': 0.0002, 'epoch': 0.41020966271649956}
{'loss': 0.2362, 'grad_norm': 0.25026965141296387, 'learning_rate': 0.0002, 'epoch': 0.4193254329990884}
{'loss': 0.2204, 'grad_norm': 0.24774520099163055, 'learning_rate': 0.0002, 'epoch': 0.4284412032816773}
{'loss': 0.2272, 'grad_norm': 0.2505239248275757, 'learning_rate': 0.0002, 'epoch': 0.4375569735642662}
{'loss': 0.2403, 'grad_norm': 0.24466155469417572, 'learning_rate': 0.0002, 'epoch': 0.44667274384685507}
{'loss': 0.2186, 'grad_norm': 0.23168137669563293, 'learning_rate': 0.0002, 'epoch': 0.45578851412944393}
{'loss': 0.2338, 'grad_norm': 0.24998445808887482, 'learning_rate': 0.0002, 'epoch': 0.4649042844120328}
{'loss': 0.2216, 'grad_norm': 0.2606823444366455, 'learning_rate': 0.0002, 'epoch': 0.4740200546946217}
{'loss': 0.2115, 'grad_norm': 0.30144596099853516, 'learning_rate': 0.0002, 'epoch': 0.4831358249772106}
{'loss': 0.2198, 'grad_norm': 0.2395511269569397, 'learning_rate': 0.0002, 'epoch': 0.49225159525979945}
{'loss': 0.2102, 'grad_norm': 0.21354953944683075, 'learning_rate': 0.0002, 'epoch': 0.5013673655423884}
{'loss': 0.2207, 'grad_norm': 0.23752006888389587, 'learning_rate': 0.0002, 'epoch': 0.5104831358249772}
{'loss': 0.2062, 'grad_norm': 0.266135573387146, 'learning_rate': 0.0002, 'epoch': 0.5195989061075661}
{'loss': 0.2047, 'grad_norm': 0.22321665287017822, 'learning_rate': 0.0002, 'epoch': 0.528714676390155}
{'loss': 0.1936, 'grad_norm': 0.22115777432918549, 'learning_rate': 0.0002, 'epoch': 0.5378304466727438}
{'loss': 0.1982, 'grad_norm': 0.24975243210792542, 'learning_rate': 0.0002, 'epoch': 0.5469462169553327}
{'loss': 0.2003, 'grad_norm': 0.2695464491844177, 'learning_rate': 0.0002, 'epoch': 0.5560619872379216}
{'loss': 0.2125, 'grad_norm': 0.2551315724849701, 'learning_rate': 0.0002, 'epoch': 0.5651777575205105}
{'loss': 0.2047, 'grad_norm': 0.22457244992256165, 'learning_rate': 0.0002, 'epoch': 0.5742935278030994}
{'loss': 0.2076, 'grad_norm': 0.26061898469924927, 'learning_rate': 0.0002, 'epoch': 0.5834092980856882}
{'loss': 0.1984, 'grad_norm': 0.26811614632606506, 'learning_rate': 0.0002, 'epoch': 0.5925250683682771}
{'loss': 0.1936, 'grad_norm': 0.2496195286512375, 'learning_rate': 0.0002, 'epoch': 0.601640838650866}
{'loss': 0.1916, 'grad_norm': 0.1843058317899704, 'learning_rate': 0.0002, 'epoch': 0.6107566089334548}
{'loss': 0.1781, 'grad_norm': 0.2437610626220703, 'learning_rate': 0.0002, 'epoch': 0.6198723792160438}
{'loss': 0.1884, 'grad_norm': 0.3561062812805176, 'learning_rate': 0.0002, 'epoch': 0.6289881494986327}
{'loss': 0.1964, 'grad_norm': 0.21970582008361816, 'learning_rate': 0.0002, 'epoch': 0.6381039197812215}
{'loss': 0.1647, 'grad_norm': 0.2905406355857849, 'learning_rate': 0.0002, 'epoch': 0.6472196900638104}
{'loss': 0.1803, 'grad_norm': 0.19192513823509216, 'learning_rate': 0.0002, 'epoch': 0.6563354603463992}
{'loss': 0.1714, 'grad_norm': 0.23324209451675415, 'learning_rate': 0.0002, 'epoch': 0.6654512306289881}
{'loss': 0.1599, 'grad_norm': 0.2700863778591156, 'learning_rate': 0.0002, 'epoch': 0.6745670009115771}
{'loss': 0.1743, 'grad_norm': 0.21639521420001984, 'learning_rate': 0.0002, 'epoch': 0.6836827711941659}
{'loss': 0.1668, 'grad_norm': 0.1882268339395523, 'learning_rate': 0.0002, 'epoch': 0.6927985414767548}
{'loss': 0.1748, 'grad_norm': 0.3242773413658142, 'learning_rate': 0.0002, 'epoch': 0.7019143117593437}
{'loss': 0.1792, 'grad_norm': 0.2438342124223709, 'learning_rate': 0.0002, 'epoch': 0.7110300820419325}
{'loss': 0.1755, 'grad_norm': 0.27482181787490845, 'learning_rate': 0.0002, 'epoch': 0.7201458523245214}
{'loss': 0.1906, 'grad_norm': 0.3047332167625427, 'learning_rate': 0.0002, 'epoch': 0.7292616226071102}
{'loss': 0.1866, 'grad_norm': 0.22490140795707703, 'learning_rate': 0.0002, 'epoch': 0.7383773928896992}
{'loss': 0.169, 'grad_norm': 0.2875992953777313, 'learning_rate': 0.0002, 'epoch': 0.7474931631722881}
{'loss': 0.1686, 'grad_norm': 0.3612804412841797, 'learning_rate': 0.0002, 'epoch': 0.7566089334548769}
{'loss': 0.1624, 'grad_norm': 0.23052656650543213, 'learning_rate': 0.0002, 'epoch': 0.7657247037374658}
{'loss': 0.1644, 'grad_norm': 0.2776176333427429, 'learning_rate': 0.0002, 'epoch': 0.7748404740200547}
{'loss': 0.1609, 'grad_norm': 0.27184900641441345, 'learning_rate': 0.0002, 'epoch': 0.7839562443026435}
{'loss': 0.1526, 'grad_norm': 0.4024435877799988, 'learning_rate': 0.0002, 'epoch': 0.7930720145852325}
{'loss': 0.148, 'grad_norm': 0.27894386649131775, 'learning_rate': 0.0002, 'epoch': 0.8021877848678214}
{'loss': 0.1547, 'grad_norm': 0.27861982583999634, 'learning_rate': 0.0002, 'epoch': 0.8113035551504102}
{'loss': 0.1792, 'grad_norm': 0.29922303557395935, 'learning_rate': 0.0002, 'epoch': 0.8204193254329991}
{'loss': 0.1706, 'grad_norm': 0.2472275048494339, 'learning_rate': 0.0002, 'epoch': 0.8295350957155879}
{'loss': 0.1609, 'grad_norm': 0.3408229649066925, 'learning_rate': 0.0002, 'epoch': 0.8386508659981768}
{'loss': 0.2045, 'grad_norm': 0.2442173957824707, 'learning_rate': 0.0002, 'epoch': 0.8477666362807658}
{'loss': 0.1602, 'grad_norm': 0.25389373302459717, 'learning_rate': 0.0002, 'epoch': 0.8568824065633546}
{'loss': 0.1554, 'grad_norm': 0.29054760932922363, 'learning_rate': 0.0002, 'epoch': 0.8659981768459435}
{'loss': 0.1533, 'grad_norm': 0.25431206822395325, 'learning_rate': 0.0002, 'epoch': 0.8751139471285324}
{'loss': 0.1463, 'grad_norm': 0.2601037323474884, 'learning_rate': 0.0002, 'epoch': 0.8842297174111212}
{'loss': 0.1439, 'grad_norm': 0.31220853328704834, 'learning_rate': 0.0002, 'epoch': 0.8933454876937101}
{'loss': 0.153, 'grad_norm': 0.20019027590751648, 'learning_rate': 0.0002, 'epoch': 0.902461257976299}
{'loss': 0.1414, 'grad_norm': 0.2364574521780014, 'learning_rate': 0.0002, 'epoch': 0.9115770282588879}
{'loss': 0.1572, 'grad_norm': 0.21882537007331848, 'learning_rate': 0.0002, 'epoch': 0.9206927985414768}
{'loss': 0.1589, 'grad_norm': 0.36726412177085876, 'learning_rate': 0.0002, 'epoch': 0.9298085688240656}
{'loss': 0.1429, 'grad_norm': 0.2720051407814026, 'learning_rate': 0.0002, 'epoch': 0.9389243391066545}
{'loss': 0.1496, 'grad_norm': 0.27441200613975525, 'learning_rate': 0.0002, 'epoch': 0.9480401093892434}
{'loss': 0.1502, 'grad_norm': 0.22913870215415955, 'learning_rate': 0.0002, 'epoch': 0.9571558796718322}
{'loss': 0.1371, 'grad_norm': 0.25333309173583984, 'learning_rate': 0.0002, 'epoch': 0.9662716499544212}
{'loss': 0.154, 'grad_norm': 0.2395046055316925, 'learning_rate': 0.0002, 'epoch': 0.97538742023701}
{'loss': 0.142, 'grad_norm': 0.24541689455509186, 'learning_rate': 0.0002, 'epoch': 0.9845031905195989}
{'loss': 0.1572, 'grad_norm': 0.278846800327301, 'learning_rate': 0.0002, 'epoch': 0.9936189608021878}
{'eval_loss': 0.13422584533691406, 'eval_runtime': 222.0176, 'eval_samples_per_second': 2.198, 'eval_steps_per_second': 0.275, 'epoch': 1.0}
{'loss': 0.127, 'grad_norm': 0.19106219708919525, 'learning_rate': 0.0002, 'epoch': 1.0027347310847767}
{'loss': 0.1169, 'grad_norm': 0.19319182634353638, 'learning_rate': 0.0002, 'epoch': 1.0118505013673655}
{'loss': 0.1254, 'grad_norm': 0.2698671519756317, 'learning_rate': 0.0002, 'epoch': 1.0209662716499543}
{'loss': 0.112, 'grad_norm': 0.18700732290744781, 'learning_rate': 0.0002, 'epoch': 1.0300820419325434}
{'loss': 0.1131, 'grad_norm': 0.2388286590576172, 'learning_rate': 0.0002, 'epoch': 1.0391978122151322}
{'loss': 0.0964, 'grad_norm': 0.2642340362071991, 'learning_rate': 0.0002, 'epoch': 1.048313582497721}
{'loss': 0.1145, 'grad_norm': 0.2490990161895752, 'learning_rate': 0.0002, 'epoch': 1.05742935278031}
{'loss': 0.1065, 'grad_norm': 0.28378966450691223, 'learning_rate': 0.0002, 'epoch': 1.0665451230628988}
{'loss': 0.1078, 'grad_norm': 0.31470048427581787, 'learning_rate': 0.0002, 'epoch': 1.0756608933454876}
{'loss': 0.1117, 'grad_norm': 0.24011190235614777, 'learning_rate': 0.0002, 'epoch': 1.0847766636280767}
{'loss': 0.1051, 'grad_norm': 0.1586640179157257, 'learning_rate': 0.0002, 'epoch': 1.0938924339106655}
{'loss': 0.1081, 'grad_norm': 0.2791425287723541, 'learning_rate': 0.0002, 'epoch': 1.1030082041932543}
{'loss': 0.1211, 'grad_norm': 0.26936790347099304, 'learning_rate': 0.0002, 'epoch': 1.112123974475843}
{'loss': 0.1183, 'grad_norm': 0.25867733359336853, 'learning_rate': 0.0002, 'epoch': 1.1212397447584321}
{'loss': 0.1056, 'grad_norm': 0.20248094201087952, 'learning_rate': 0.0002, 'epoch': 1.130355515041021}
{'loss': 0.1093, 'grad_norm': 0.2487908899784088, 'learning_rate': 0.0002, 'epoch': 1.1394712853236098}
{'loss': 0.11, 'grad_norm': 0.2377583086490631, 'learning_rate': 0.0002, 'epoch': 1.1485870556061988}
{'loss': 0.1117, 'grad_norm': 0.25783592462539673, 'learning_rate': 0.0002, 'epoch': 1.1577028258887876}
{'loss': 0.1126, 'grad_norm': 0.2893688678741455, 'learning_rate': 0.0002, 'epoch': 1.1668185961713764}
{'loss': 0.1127, 'grad_norm': 0.26131200790405273, 'learning_rate': 0.0002, 'epoch': 1.1759343664539654}
{'loss': 0.1148, 'grad_norm': 0.2552046477794647, 'learning_rate': 0.0002, 'epoch': 1.1850501367365542}
{'loss': 0.1152, 'grad_norm': 0.2955750823020935, 'learning_rate': 0.0002, 'epoch': 1.194165907019143}
{'loss': 0.1066, 'grad_norm': 0.24136045575141907, 'learning_rate': 0.0002, 'epoch': 1.203281677301732}
{'loss': 0.1039, 'grad_norm': 0.25072014331817627, 'learning_rate': 0.0002, 'epoch': 1.2123974475843209}
{'loss': 0.1044, 'grad_norm': 0.24322625994682312, 'learning_rate': 0.0002, 'epoch': 1.2215132178669097}
{'loss': 0.1058, 'grad_norm': 0.25917965173721313, 'learning_rate': 0.0002, 'epoch': 1.2306289881494987}
{'loss': 0.0963, 'grad_norm': 0.22021430730819702, 'learning_rate': 0.0002, 'epoch': 1.2397447584320875}
{'loss': 0.115, 'grad_norm': 0.2756161391735077, 'learning_rate': 0.0002, 'epoch': 1.2488605287146763}
{'loss': 0.1103, 'grad_norm': 0.22952193021774292, 'learning_rate': 0.0002, 'epoch': 1.2579762989972654}
{'loss': 0.1065, 'grad_norm': 0.1847311556339264, 'learning_rate': 0.0002, 'epoch': 1.2670920692798542}
{'loss': 0.1068, 'grad_norm': 0.17090117931365967, 'learning_rate': 0.0002, 'epoch': 1.276207839562443}
{'loss': 0.1024, 'grad_norm': 0.22486338019371033, 'learning_rate': 0.0002, 'epoch': 1.2853236098450318}
{'loss': 0.1039, 'grad_norm': 0.2482769787311554, 'learning_rate': 0.0002, 'epoch': 1.2944393801276208}
{'loss': 0.109, 'grad_norm': 0.27469566464424133, 'learning_rate': 0.0002, 'epoch': 1.3035551504102096}
{'loss': 0.1005, 'grad_norm': 0.2997322976589203, 'learning_rate': 0.0002, 'epoch': 1.3126709206927987}
{'loss': 0.0953, 'grad_norm': 0.2618181109428406, 'learning_rate': 0.0002, 'epoch': 1.3217866909753875}
{'loss': 0.1057, 'grad_norm': 0.23265783488750458, 'learning_rate': 0.0002, 'epoch': 1.3309024612579763}
{'loss': 0.1101, 'grad_norm': 0.2566234767436981, 'learning_rate': 0.0002, 'epoch': 1.340018231540565}
{'loss': 0.0923, 'grad_norm': 0.25500115752220154, 'learning_rate': 0.0002, 'epoch': 1.3491340018231541}
{'loss': 0.0902, 'grad_norm': 0.2539708912372589, 'learning_rate': 0.0002, 'epoch': 1.358249772105743}
{'loss': 0.1063, 'grad_norm': 0.2219056636095047, 'learning_rate': 0.0002, 'epoch': 1.3673655423883317}
{'loss': 0.1026, 'grad_norm': 0.29347753524780273, 'learning_rate': 0.0002, 'epoch': 1.3764813126709208}
{'loss': 0.09, 'grad_norm': 0.1923447847366333, 'learning_rate': 0.0002, 'epoch': 1.3855970829535096}
{'loss': 0.0883, 'grad_norm': 0.23898173868656158, 'learning_rate': 0.0002, 'epoch': 1.3947128532360984}
{'loss': 0.0994, 'grad_norm': 0.20149488747119904, 'learning_rate': 0.0002, 'epoch': 1.4038286235186872}
{'loss': 0.1098, 'grad_norm': 0.30242305994033813, 'learning_rate': 0.0002, 'epoch': 1.4129443938012762}
{'loss': 0.0945, 'grad_norm': 0.26454979181289673, 'learning_rate': 0.0002, 'epoch': 1.422060164083865}
{'loss': 0.0981, 'grad_norm': 0.2736726999282837, 'learning_rate': 0.0002, 'epoch': 1.431175934366454}
{'loss': 0.1001, 'grad_norm': 0.24737390875816345, 'learning_rate': 0.0002, 'epoch': 1.4402917046490429}
{'loss': 0.101, 'grad_norm': 0.2437027096748352, 'learning_rate': 0.0002, 'epoch': 1.4494074749316317}
{'loss': 0.097, 'grad_norm': 0.2718719244003296, 'learning_rate': 0.0002, 'epoch': 1.4585232452142205}
{'loss': 0.1044, 'grad_norm': 0.2713903784751892, 'learning_rate': 0.0002, 'epoch': 1.4676390154968095}
{'loss': 0.1051, 'grad_norm': 0.24551017582416534, 'learning_rate': 0.0002, 'epoch': 1.4767547857793983}
{'loss': 0.1083, 'grad_norm': 0.2204478532075882, 'learning_rate': 0.0002, 'epoch': 1.4858705560619874}
{'loss': 0.1027, 'grad_norm': 0.19460463523864746, 'learning_rate': 0.0002, 'epoch': 1.4949863263445762}
{'eval_loss': 0.10492929071187973, 'eval_runtime': 290.1505, 'eval_samples_per_second': 1.682, 'eval_steps_per_second': 0.21, 'epoch': 1.5004557885141294}
{'train_runtime': 22627.3732, 'train_samples_per_second': 0.291, 'train_steps_per_second': 0.073, 'train_loss': 0.1925335139362085, 'epoch': 1.5004557885141294}
Execution time: 22644.965303 seconds
Press any key to continue . . .
